,Index,P_Total
2016-05-27,1014587760,1006611693.0
2016-05-31,1019674162,1007134789.0
2016-06-01,1009322245,1006291958.0
2016-06-02,1014387197,1018020138.0
2016-06-03,1020306579,1019217234.0
2016-06-06,1019911769,1031930485.0
2016-06-07,1035139656,1037456251.0
2016-06-08,1033782078,1039281381.0
2016-06-09,1040049762,1045278238.0
2016-06-10,1048685078,1055706218.0
2016-06-13,1044974675,1055109840.0
2016-06-14,1050556781,1056461547.0
2016-06-15,1048749949,1067352412.0
2016-06-16,1057168224,1070417195.0
2016-06-17,1063388982,1077754147.0
2016-06-20,1064369573,1080444294.0
2016-06-21,1071836752,1090792309.0
2016-06-22,1073712152,1094306899.0
2016-06-23,1087931208,1105677807.0
2016-06-24,1077625515,1098047879.0
2016-06-27,1083662305,1105256946.0
2016-06-28,1087108314,1109976457.0
2016-06-29,1097902492,1129397414.0
2016-06-30,1114752955,1146341951.0
2016-07-01,1122212864,1163853291.0
2016-07-05,1121765180,1146612977.0
2016-07-06,1123289197,1168793835.0
2016-07-07,1105408475,1184884952.0
2016-07-08,1116088988,1217086243.0
2016-07-11,1115187581,1209436339.0
2016-07-12,1111746637,1236181244.0
2016-07-13,1120130465,1240954473.0
2016-07-14,1121891963,1251849349.0
2016-07-15,1123701818,1252844509.0
2016-07-18,1123619804,1239230991.0
2016-07-19,1119551705,1236030292.0
2016-07-20,1118640808,1238963898.0
2016-07-21,1113738504,1246483084.0
2016-07-22,1128510786,1263617219.0
2016-07-25,1123695593,1253157261.0
2016-07-26,1106978453,1249880956.0
2016-07-27,1114076012,1253365869.0
2016-07-28,1106692447,1251517972.0
2016-07-29,1121360091,1267508618.0
2016-08-01,1110595685,1285068173.0
2016-08-02,1104527478,1256827792.0
2016-08-03,1103604567,1259066342.0
2016-08-04,1102816444,1239873914.0
2016-08-05,1101063927,1247214939.0
2016-08-08,1099003822,1267466044.0
2016-08-09,1101480369,1269491155.0
2016-08-10,1104435109,1272022543.0
2016-08-11,1107220557,1269238016.0
2016-08-12,1103129970,1258859325.0
2016-08-15,1099569096,1248268504.0
2016-08-16,1077165669,1235153618.0
2016-08-17,1078753065,1233440377.0
2016-08-18,1070228001,1226477041.0
2016-08-19,1061110056,1216120638.0
2016-08-22,1060831049,1215127492.0
2016-08-23,1061344080,1215928495.0
2016-08-24,1061027447,1217006405.0
2016-08-25,1065333170,1220995308.0
2016-08-26,1053900926,1215391378.0
2016-08-29,1062064626,1222872381.0
2016-08-30,1058690373,1221391021.0
2016-08-31,1058410541,1226535318.0
2016-09-01,1061234303,1228703765.0
2016-09-02,1064453427,1228585286.0
2016-09-06,1074068858,1233717406.0
2016-09-07,1076674486,1236385214.0
2016-09-08,1074685843,1243042571.0
2016-09-09,1037947853,1227868206.0
2016-09-12,1058714151,1244414216.0
2016-09-13,1037827912,1218419777.0
2016-09-14,1036648300,1219739791.0
2016-09-15,1047885857,1231744633.0
2016-09-16,1043393752,1220316326.0
2016-09-19,1036416472,1232297160.0
2016-09-20,1034340407,1233461308.0
2016-09-21,1047541076,1244235617.0
2016-09-22,1059278731,1257096695.0
2016-09-23,1063135729,1260259128.0
2016-09-26,1057373355,1255213080.0
2016-09-27,1064400199,1273396893.0
2016-09-28,1047325347,1256475094.0
2016-09-29,1045066126,1257849188.0
2016-09-30,1041939727,1252111220.0
2016-10-03,1042900588,1256641158.0
2016-10-04,1025624814,1233093941.0
2016-10-05,1013712963,1227846531.0
2016-10-06,1012862371,1225600588.0
2016-10-07,1008846660,1248953296.0
2016-10-10,1012985499,1253938713.0
2016-10-11,1010835964,1248887048.0
2016-10-12,1016558201,1256593845.0
2016-10-13,1016556137,1257100553.0
2016-10-14,1015230530,1254020220.0
2016-10-17,1017005555,1254270116.0
2016-10-18,1018912390,1252504250.0
2016-10-19,1020973657,1242684866.0
2016-10-20,1000704871,1222094789.0
2016-10-21,977829522,1169231889.0
2016-10-24,970273881,1162743393.0
2016-10-25,964880703,1157937832.0
2016-10-26,959322982,1163371765.0
2016-10-27,975716492,1166003605.0
2016-10-28,973249239,1166010090.0
2016-10-31,972967279,1173194108.0
2016-11-01,962600151,1165923682.0
2016-11-02,950411589,1158518755.0
