MAT,_chr,[[  1.          11.          -0.15         2.16428571   4.75675676]]
,,
SNA,_clr,"[[ -2.18309859e+00  -4.21884749e-15  -1.00000000e+00  -4.64000000e+00
    1.20000000e+00]]"
,,
SNA,_chr,"[[ -1.13559322e+00   1.00000000e+00   5.12000000e+00   7.32747196e-15
    2.23923445e+00]]"
,,
SNI,_clr,[[-3.3125      0.12643678 -1.         -6.35294118 -2.        ]]
,,
SNI,_chr,[[ 1.          3.23958333 -0.15        6.21052632  2.        ]]
,,
XRAY,_clr,"[[ -1.00000000e+00  -1.02140518e-14  -2.22277228e+00  -4.75000000e+00
    1.26666667e+00]]"
,,
XRAY,_chr,[[ -0.10889292   1.           3.5         15.           2.        ]]
,,
MAC,_clr,"[[ -1.00000000e+00   2.44249065e-15  -2.29831933e+00   1.36585366e+00
   -6.30000000e+00]]"
,,
MAC,_chr,[[  1.          -0.10626186   2.14876033   4.6         14.        ]]
,,
JNJ,_clr,"[[ -5.77315973e-15  -2.23232323e+00  -1.00000000e+00  -1.40000000e+01
    1.02500000e+00]]"
,,
JNJ,_chr,"[[  7.88258347e-15   1.00000000e+00   2.00000000e+00   3.23529412e+00
   -1.04761905e+00]]"
,,
XYL,_clr,[[ -2.25539568  -1.          -4.90243902   0.18949343 -17.        ]]
,,
XYL,_chr,[[  1.          13.           4.61363636  -0.16566866   2.2640264 ]]
,,
TSN,_clr,[[ -2.25185185   0.14972274 -10.5         -1.          -4.77142857]]
,,
TSN,_chr,[[-0.09276018  1.          2.26553672  6.8        -5.16666667]]
,,
TSO,_clr,[[-1.         -4.53731343 -8.11111111  0.24781341 -2.37582418]]
,,
TSO,_chr,[[ 1.          3.35714286  6.05555556  2.         -0.31907895]]
,,
BEN,_clr,[[ -1.          -4.48837209   0.21195652 -11.          -2.27734375]]
,,
BEN,_chr,[[  1.           2.51384615 -15.          -0.21703854   9.5       ]]
,,
CMI,_clr,[[-2.28052805  0.16344086 -1.         -5.05555556  2.73333333]]
,,
CMI,_chr,[[-0.16777042  2.29216867  5.01333333  1.         -2.92592593]]
,,
EL,_clr,[[ 0.14214047 -1.         -2.22580645  6.8        -4.75      ]]
,,
EL,_chr,[[ -0.13661202   2.27016129   1.          14.33333333   6.29411765]]
,,
CMG,_clr,[[ -4.11111111  -1.28221649   0.18907563 -16.          10.        ]]
,,
CMG,_chr,[[ -0.16176471   6.94285714   2.37570621   1.         -14.5       ]]
,,
ALB,_clr,[[-1.          0.11546392 -6.21276596 -2.5         2.8       ]]
,,
ALB,_chr,[[ 1.          5.97435897  3.28358209 -0.20316027  2.        ]]
,,
CME,_clr,[[ 0.09640832 -3.4375     -1.         -2.         -8.4       ]]
,,
CME,_chr,"[[  1.22124533e-15   3.48421053e+00   1.00000000e+00  -1.46875000e+00
    2.00000000e+00]]"
,,
DTE,_clr,"[[ -1.00000000e+00  -4.21884749e-15  -3.34285714e+00  -2.00000000e+00
    1.10344828e+00]]"
,,
DTE,_chr,[[ 1.  2.  0.  3. -1.]]
,,
CMS,_clr,[[ 0.         -1.         -2.         -3.36956522  1.13043478]]
,,
CMS,_chr,"[[  1.00000000e+00  -2.99760217e-15   2.00000000e+00   3.13157895e+00
   -1.05000000e+00]]"
,,
PCG,_clr,"[[ -3.88578059e-15  -1.00000000e+00  -2.00000000e+00  -3.45652174e+00
    1.03571429e+00]]"
,,
PCG,_chr,"[[  1.00000000e+00   6.77236045e-15   3.21212121e+00   2.00000000e+00
   -1.12000000e+00]]"
,,
VLO,_clr,[[ -4.79487179   0.32009926  -2.32783019  -1.         -10.1       ]]
,,
VLO,_chr,[[  2.32657201  -0.33128834   4.69491525  14.66666667   1.        ]]
,,
HUM,_clr,[[  0.12974052  -2.37966102  -6.33333333  -1.         -13.16666667]]
,,
HUM,_chr,[[ -0.18543046   4.56521739   2.19325153   1.          10.58333333]]
,,
PCLN,_clr,[[  3.17857143  -1.28159341  -3.69503546 -11.57142857   0.16737288]]
,,
PCLN,_chr,[[ 1.28717949  3.57763975 -0.1646778  -6.85714286  9.22222222]]
,,
TGNA,_clr,[[-3.68115942  0.25       -1.         -7.42857143 -2.        ]]
,,
TGNA,_chr,[[-0.27966102  3.43478261  1.          7.2         2.        ]]
,,
FSLR,_clr,[[ -5.91034483  -0.38267717 -11.82352941   3.65217391  -2.7248062 ]]
,,
FSLR,_chr,[[  2.97538462   8.3826087   52.           0.16333333  20.3       ]]
,,
GRMN,_clr,[[-1.         -7.04347826 -2.34848485  0.11434511  5.42857143]]
,,
GRMN,_chr,[[  1.           5.0754717   -0.20666667   2.24919094  12.28571429]]
,,
FTR,_clr,[[  0.24338624  -4.72268908  -2.32754342  -1.         -10.0625    ]]
,,
FTR,_chr,[[  2.2992126   -0.19830028   5.27027027   1.          15.83333333]]
,,
FTV,_clr,"[[ -2.00000000e+00  -2.22044605e-16  -1.00000000e+00  -3.00000000e+00
    1.00000000e+00]]"
,,
FTV,_chr,[[-0.03571429  2.          1.          6.          4.        ]]
,,
K,_clr,"[[ -1.00000000e+00  -7.54951657e-15  -2.11864407e+00  -5.28571429e+00
    1.14705882e+00]]"
,,
K,_chr,[[ 1.          2.13636364 -0.0282318  -3.          4.69230769]]
,,
FFIV,_clr,[[ -5.06593407  -0.58275058   1.84337349  -2.32352941 -14.5       ]]
,,
FFIV,_chr,[[  1.           6.90566038  -0.27480916   2.47482014 -10.25      ]]
,,
BLL,_clr,[[ -1.           0.10915493  -3.44285714  -2.         -14.        ]]
,,
BLL,_chr,[[ 1.         -0.10909091  3.41666667  2.          9.        ]]
,,
HCA,_clr,[[  0.22696629  -3.59047619 -49.          -1.34609929  -7.8       ]]
,,
HCA,_chr,[[-0.17158177  2.28921569  9.46153846  1.          4.59183673]]
,,
BLK,_clr,"[[ -2.28358209e+00  -9.65894031e-15  -4.80434783e+00  -1.00000000e+00
    1.23404255e+00]]"
,,
BLK,_chr,"[[ -2.99760217e-15   2.23411371e+00   1.00000000e+00   4.47727273e+00
   -1.27848101e+00]]"
,,
FTI,_clr,[[-2.39012346  0.33411215 -1.         -8.35714286 -4.47777778]]
,,
FTI,_chr,[[ 2.29846939 -0.34292566  8.41176471  1.          4.42708333]]
,,
HCN,_clr,[[ 0.05308219 -3.38095238 -1.         -2.         -5.91666667]]
,,
HCN,_chr,"[[  1.00000000e+00   2.00000000e+00   8.54871729e-15  -1.18000000e+00
    3.22388060e+00]]"
,,
NFX,_clr,[[-2.36865342 -4.67261905 -0.58776167 -9.          1.57731959]]
,,
NFX,_chr,[[ 0.61371237  4.70466321 -1.50892857  9.875       2.3518931 ]]
,,
MA,_clr,[[ -4.41666667  -1.           0.18666667  -2.23873874 -18.        ]]
,,
MA,_chr,"[[ -1.22124533e-15   2.25095057e+00   1.00000000e+00   4.79411765e+00
   -1.25862069e+00]]"
,,
CBG,_clr,[[-2.29206349  0.23809524 -1.         -4.47674419 -8.5       ]]
,,
CBG,_chr,[[-0.23931624  4.41666667  1.          2.27828746  8.66666667]]
,,
PRGO,_clr,[[ -4.72413793  -1.          -2.28519856   0.15432099 -10.23076923]]
,,
PRGO,_chr,[[ -0.20806794   2.41907514  31.           6.90909091   1.        ]]
,,
MO,_clr,[[ -1.          -3.45714286   0.06304985  -2.         -12.        ]]
,,
MO,_chr,"[[  1.00000000e+00  -3.21964677e-15   2.00000000e+00   3.11764706e+00
   -1.27777778e+00]]"
,,
NOC,_clr,"[[  1.22124533e-15  -2.14197531e+00  -4.66666667e+00  -1.00000000e+00
    1.21428571e+00]]"
,,
NOC,_chr,"[[ -1.06976744e+00   1.00000000e+00   2.19704433e+00   4.88498131e-15
    4.73684211e+00]]"
,,
MU,_clr,[[ 0.28381963 -3.68181818 -7.43939394  2.95833333 -1.45407279]]
,,
MU,_chr,[[  1.48566879   5.95384615  -0.58899676  12.5625       3.36518771]]
,,
CBS,_clr,"[[ -4.73684211e+00  -1.00000000e+00   1.35365854e+00  -8.88178420e-16
   -2.21637427e+00]]"
,,
CBS,_chr,[[-0.1901566   3.28947368  1.          2.          5.72413793]]
,,
OKE,_clr,[[-2.271777   -4.60638298  0.19096509 -1.         -9.14285714]]
,,
OKE,_chr,[[ -0.26651481   3.39716312  19.33333333   6.18965517   1.26258503]]
,,
