,Index,P_Total
2016-05-27,1018836908,1006611693.0
2016-05-31,1023944612,1007134789.0
2016-06-01,1013549341,1006291958.0
2016-06-02,1018635505,1018020138.0
2016-06-03,1024579677,1019217234.0
2016-06-06,1024183214,1031930485.0
2016-06-07,1039474876,1037456251.0
2016-06-08,1038111613,1039281381.0
2016-06-09,1044405546,1045278238.0
2016-06-10,1053077027,1055706218.0
2016-06-13,1049351085,1055109840.0
2016-06-14,1054956569,1056461547.0
2016-06-15,1053142170,1067352412.0
2016-06-16,1061595701,1070417195.0
2016-06-17,1067842511,1077754147.0
2016-06-20,1068827210,1080444294.0
2016-06-21,1076325661,1090792309.0
2016-06-22,1078208916,1094306899.0
2016-06-23,1092487522,1105677807.0
2016-06-24,1082138668,1098047879.0
2016-06-27,1088200741,1105256946.0
2016-06-28,1091661182,1109976457.0
2016-06-29,1102500567,1129397414.0
2016-06-30,1119421599,1146341951.0
2016-07-01,1126912751,1163853291.0
2016-07-05,1126463192,1146612977.0
2016-07-06,1127993592,1168793835.0
2016-07-07,1110037985,1184884952.0
2016-07-08,1120763228,1217086243.0
2016-07-11,1119858046,1209436339.0
2016-07-12,1116402691,1236181244.0
2016-07-13,1124821631,1240954473.0
2016-07-14,1126590507,1251849349.0
2016-07-15,1128407941,1252844509.0
2016-07-18,1128325584,1239230991.0
2016-07-19,1124240447,1236030292.0
2016-07-20,1123325735,1238963898.0
2016-07-21,1118402900,1246483084.0
2016-07-22,1133237049,1263617219.0
2016-07-25,1128401690,1253157261.0
2016-07-26,1111614538,1249880956.0
2016-07-27,1118741821,1253365869.0
2016-07-28,1111327334,1251517972.0
2016-07-29,1126056407,1267508618.0
2016-08-01,1115246919,1285068173.0
2016-08-02,1109153298,1256827792.0
2016-08-03,1108226522,1259066342.0
2016-08-04,1107435098,1239873914.0
2016-08-05,1105675242,1247214939.0
2016-08-08,1103606508,1267466044.0
2016-08-09,1106093428,1269491155.0
2016-08-10,1109060542,1272022543.0
2016-08-11,1111857655,1269238016.0
2016-08-12,1107749938,1258859325.0
2016-08-15,1104174150,1248268504.0
2016-08-16,1081676896,1235153618.0
2016-08-17,1083270941,1233440377.0
2016-08-18,1074710173,1226477041.0
2016-08-19,1065554041,1216120638.0
2016-08-22,1065273866,1215127492.0
2016-08-23,1065789046,1215928495.0
2016-08-24,1065471087,1217006405.0
2016-08-25,1069794842,1220995308.0
2016-08-26,1058314719,1215391378.0
2016-08-29,1066512609,1222872381.0
2016-08-30,1063124225,1221391021.0
2016-08-31,1062843221,1226535318.0
2016-09-01,1065678809,1228703765.0
2016-09-02,1068911415,1228585286.0
2016-09-06,1078567116,1233717406.0
2016-09-07,1081183657,1236385214.0
2016-09-08,1079186685,1243042571.0
2016-09-09,1042294834,1227868206.0
2016-09-12,1063148102,1244414216.0
2016-09-13,1042174391,1218419777.0
2016-09-14,1040989839,1219739791.0
2016-09-15,1052274459,1231744633.0
2016-09-16,1047763540,1220316326.0
2016-09-19,1040757039,1232297160.0
2016-09-20,1038672280,1233461308.0
2016-09-21,1051928234,1244235617.0
2016-09-22,1063715047,1257096695.0
2016-09-23,1067588198,1260259128.0
2016-09-26,1061801691,1255213080.0
2016-09-27,1068857964,1273396893.0
2016-09-28,1051711602,1256475094.0
2016-09-29,1049442919,1257849188.0
2016-09-30,1046303426,1252111220.0
2016-10-03,1047268311,1256641158.0
2016-10-04,1029920185,1233093941.0
2016-10-05,1017958447,1227846531.0
2016-10-06,1017104292,1225600588.0
2016-10-07,1013071764,1248953296.0
2016-10-10,1017227936,1253938713.0
2016-10-11,1015069399,1248887048.0
2016-10-12,1020815601,1256593845.0
2016-10-13,1020813528,1257100553.0
2016-10-14,1019482369,1254020220.0
2016-10-17,1021264828,1254270116.0
2016-10-18,1023179650,1252504250.0
2016-10-19,1025249549,1242684866.0
2016-10-20,1004895876,1222094789.0
2016-10-21,981924725,1169231889.0
2016-10-24,974337440,1162743393.0
2016-10-25,968921675,1157937832.0
2016-10-26,963340678,1163371765.0
2016-10-27,979802844,1166003605.0
2016-10-28,977325258,1166010090.0
2016-10-31,977042118,1173194108.0
2016-11-01,966631572,1165923682.0
2016-11-02,954391963,1158518755.0
