,Index,P_Total
2016-05-27,1027388665,1006611693.0
2016-05-31,1032539241,1007134789.0
2016-06-01,1022056715,1006291958.0
2016-06-02,1027185571,1018020138.0
2016-06-03,1033179637,1019217234.0
2016-06-06,1032779846,1031930485.0
2016-06-07,1048199860,1037456251.0
2016-06-08,1046825154,1039281381.0
2016-06-09,1053171917,1045278238.0
2016-06-10,1061916183,1055706218.0
2016-06-13,1058158967,1055109840.0
2016-06-14,1063811501,1056461547.0
2016-06-15,1061981873,1067352412.0
2016-06-16,1070506360,1070417195.0
2016-06-17,1076805604,1077754147.0
2016-06-20,1077798567,1080444294.0
2016-06-21,1085359958,1090792309.0
2016-06-22,1087259020,1094306899.0
2016-06-23,1101657476,1105677807.0
2016-06-24,1091221757,1098047879.0
2016-06-27,1097334713,1105256946.0
2016-06-28,1100824200,1109976457.0
2016-06-29,1111754567,1129397414.0
2016-06-30,1128817629,1146341951.0
2016-07-01,1136371658,1163853291.0
2016-07-05,1135918326,1146612977.0
2016-07-06,1137461571,1168793835.0
2016-07-07,1119355251,1184884952.0
2016-07-08,1130170518,1217086243.0
2016-07-11,1129257739,1209436339.0
2016-07-12,1125773381,1236181244.0
2016-07-13,1134262986,1240954473.0
2016-07-14,1136046709,1251849349.0
2016-07-15,1137879399,1252844509.0
2016-07-18,1137796350,1239230991.0
2016-07-19,1133676924,1236030292.0
2016-07-20,1132754535,1238963898.0
2016-07-21,1127790379,1246483084.0
2016-07-22,1142749040,1263617219.0
2016-07-25,1137873095,1253157261.0
2016-07-26,1120945037,1249880956.0
2016-07-27,1128132145,1253365869.0
2016-07-28,1120655423,1251517972.0
2016-07-29,1135508126,1267508618.0
2016-08-01,1124607907,1285068173.0
2016-08-02,1118463138,1256827792.0
2016-08-03,1117528583,1259066342.0
2016-08-04,1116730517,1239873914.0
2016-08-05,1114955889,1247214939.0
2016-08-08,1112869791,1267466044.0
2016-08-09,1115377585,1269491155.0
2016-08-10,1118369605,1272022543.0
2016-08-11,1121190195,1269238016.0
2016-08-12,1117047999,1258859325.0
2016-08-15,1113442198,1248268504.0
2016-08-16,1090756110,1235153618.0
2016-08-17,1092363534,1233440377.0
2016-08-18,1083730910,1226477041.0
2016-08-19,1074497925,1216120638.0
2016-08-22,1074215398,1215127492.0
2016-08-23,1074734902,1215928495.0
2016-08-24,1074414274,1217006405.0
2016-08-25,1078774322,1220995308.0
2016-08-26,1067197839,1215391378.0
2016-08-29,1075464539,1222872381.0
2016-08-30,1072047714,1221391021.0
2016-08-31,1071764351,1226535318.0
2016-09-01,1074623740,1228703765.0
2016-09-02,1077883479,1228585286.0
2016-09-06,1087620227,1233717406.0
2016-09-07,1090258730,1236385214.0
2016-09-08,1088244996,1243042571.0
2016-09-09,1051043488,1227868206.0
2016-09-12,1072071792,1244414216.0
2016-09-13,1050922034,1218419777.0
2016-09-14,1049727539,1219739791.0
2016-09-15,1061106879,1231744633.0
2016-09-16,1056558097,1220316326.0
2016-09-19,1049492786,1232297160.0
2016-09-20,1047390528,1233461308.0
2016-09-21,1060757748,1244235617.0
2016-09-22,1072643495,1257096695.0
2016-09-23,1076549156,1260259128.0
2016-09-26,1070714079,1255213080.0
2016-09-27,1077829580,1273396893.0
2016-09-28,1060539297,1256475094.0
2016-09-29,1058251571,1257849188.0
2016-09-30,1055085727,1252111220.0
2016-10-03,1056058711,1256641158.0
2016-10-04,1038564971,1233093941.0
2016-10-05,1026502830,1227846531.0
2016-10-06,1025641506,1225600588.0
2016-10-07,1021575130,1248953296.0
2016-10-10,1025766188,1253938713.0
2016-10-11,1023589532,1248887048.0
2016-10-12,1029383966,1256593845.0
2016-10-13,1029381876,1257100553.0
2016-10-14,1028039544,1254020220.0
2016-10-17,1029836964,1254270116.0
2016-10-18,1031767858,1252504250.0
2016-10-19,1033855131,1242684866.0
2016-10-20,1013330617,1222094789.0
2016-10-21,990166654,1169231889.0
2016-10-24,982515684,1162743393.0
2016-10-25,977054461,1157937832.0
2016-10-26,971426619,1163371765.0
2016-10-27,988026963,1166003605.0
2016-10-28,985528581,1166010090.0
2016-10-31,985243064,1173194108.0
2016-11-01,974745135,1165923682.0
2016-11-02,962402792,1158518755.0
