,Index,P_Total
2016-05-27,1023103851,1006611693.0
2016-05-31,1028232946,1007134789.0
2016-06-01,1017794139,1006291958.0
2016-06-02,1022901605,1018020138.0
2016-06-03,1028870672,1019217234.0
2016-06-06,1028472548,1031930485.0
2016-06-07,1043828252,1037456251.0
2016-06-08,1042459279,1039281381.0
2016-06-09,1048779572,1045278238.0
2016-06-10,1057487369,1055706218.0
2016-06-13,1053745823,1055109840.0
2016-06-14,1059374783,1056461547.0
2016-06-15,1057552786,1067352412.0
2016-06-16,1066041721,1070417195.0
2016-06-17,1072314693,1077754147.0
2016-06-20,1073303515,1080444294.0
2016-06-21,1080833370,1090792309.0
2016-06-22,1082724513,1094306899.0
2016-06-23,1097062918,1105677807.0
2016-06-24,1086670722,1098047879.0
2016-06-27,1092758183,1105256946.0
2016-06-28,1096233117,1109976457.0
2016-06-29,1107117898,1129397414.0
2016-06-30,1124109797,1146341951.0
2016-07-01,1131632322,1163853291.0
2016-07-05,1131180880,1146612977.0
2016-07-06,1132717689,1168793835.0
2016-07-07,1114686883,1184884952.0
2016-07-08,1125457044,1217086243.0
2016-07-11,1124548071,1209436339.0
2016-07-12,1121078245,1236181244.0
2016-07-13,1129532444,1240954473.0
2016-07-14,1131308728,1251849349.0
2016-07-15,1133133774,1252844509.0
2016-07-18,1133051072,1239230991.0
2016-07-19,1128948826,1236030292.0
2016-07-20,1128030284,1238963898.0
2016-07-21,1123086831,1246483084.0
2016-07-22,1137983106,1263617219.0
2016-07-25,1133127496,1253157261.0
2016-07-26,1116270039,1249880956.0
2016-07-27,1123427172,1253365869.0
2016-07-28,1115981632,1251517972.0
2016-07-29,1130772391,1267508618.0
2016-08-01,1119917632,1285068173.0
2016-08-02,1113798491,1256827792.0
2016-08-03,1112867834,1259066342.0
2016-08-04,1112073096,1239873914.0
2016-08-05,1110305868,1247214939.0
2016-08-08,1108228471,1267466044.0
2016-08-09,1110725806,1269491155.0
2016-08-10,1113705347,1272022543.0
2016-08-11,1116514174,1269238016.0
2016-08-12,1112389253,1258859325.0
2016-08-15,1108798491,1248268504.0
2016-08-16,1086207017,1235153618.0
2016-08-17,1087807737,1233440377.0
2016-08-18,1079211117,1226477041.0
2016-08-19,1070016638,1216120638.0
2016-08-22,1069735290,1215127492.0
2016-08-23,1070252627,1215928495.0
2016-08-24,1069933336,1217006405.0
2016-08-25,1074275200,1220995308.0
2016-08-26,1062746998,1215391378.0
2016-08-29,1070979221,1222872381.0
2016-08-30,1067576646,1221391021.0
2016-08-31,1067294465,1226535318.0
2016-09-01,1070141929,1228703765.0
2016-09-02,1073388073,1228585286.0
2016-09-06,1083084212,1233717406.0
2016-09-07,1085711711,1236385214.0
2016-09-08,1083706376,1243042571.0
2016-09-09,1046660020,1227868206.0
2016-09-12,1067600623,1244414216.0
2016-09-13,1046539072,1218419777.0
2016-09-14,1045349560,1219739791.0
2016-09-15,1056681441,1231744633.0
2016-09-16,1052151630,1220316326.0
2016-09-19,1045115785,1232297160.0
2016-09-20,1043022295,1233461308.0
2016-09-21,1056333766,1244235617.0
2016-09-22,1068169942,1257096695.0
2016-09-23,1072059314,1260259128.0
2016-09-26,1066248573,1255213080.0
2016-09-27,1073334398,1273396893.0
2016-09-28,1056116226,1256475094.0
2016-09-29,1053838041,1257849188.0
2016-09-30,1050685400,1252111220.0
2016-10-03,1051654327,1256641158.0
2016-10-04,1034233546,1233093941.0
2016-10-05,1022221711,1227846531.0
2016-10-06,1021363980,1225600588.0
2016-10-07,1017314562,1248953296.0
2016-10-10,1021488141,1253938713.0
2016-10-11,1019320563,1248887048.0
2016-10-12,1025090831,1256593845.0
2016-10-13,1025088750,1257100553.0
2016-10-14,1023752016,1254020220.0
2016-10-17,1025541940,1254270116.0
2016-10-18,1027464781,1252504250.0
2016-10-19,1029543349,1242684866.0
2016-10-20,1009104434,1222094789.0
2016-10-21,986037078,1169231889.0
2016-10-24,978418017,1162743393.0
2016-10-25,972979571,1157937832.0
2016-10-26,967375200,1163371765.0
2016-10-27,983906311,1166003605.0
2016-10-28,981418349,1166010090.0
2016-10-31,981134022,1173194108.0
2016-11-01,970679876,1165923682.0
2016-11-02,958389008,1158518755.0
