,Index,P_Total
2016-05-27,1036012202,1006611693.0
2016-05-31,1041206010,1007134789.0
2016-06-01,1030635498,1006291958.0
2016-06-02,1035807404,1018020138.0
2016-06-03,1041851781,1019217234.0
2016-06-06,1041448635,1031930485.0
2016-06-07,1056998079,1037456251.0
2016-06-08,1055611835,1039281381.0
2016-06-09,1062011870,1045278238.0
2016-06-10,1070829532,1055706218.0
2016-06-13,1067040779,1055109840.0
2016-06-14,1072740759,1056461547.0
2016-06-15,1070895773,1067352412.0
2016-06-16,1079491812,1070417195.0
2016-06-17,1085843930,1077754147.0
2016-06-20,1086845227,1080444294.0
2016-06-21,1094470086,1090792309.0
2016-06-22,1096385088,1094306899.0
2016-06-23,1110904399,1105677807.0
2016-06-24,1100381087,1098047879.0
2016-06-27,1106545353,1105256946.0
2016-06-28,1110064129,1109976457.0
2016-06-29,1121086241,1129397414.0
2016-06-30,1138292525,1146341951.0
2016-07-01,1145909960,1163853291.0
2016-07-05,1145452823,1146612977.0
2016-07-06,1147009021,1168793835.0
2016-07-07,1128750724,1184884952.0
2016-07-08,1139656770,1217086243.0
2016-07-11,1138736329,1209436339.0
2016-07-12,1135222725,1236181244.0
2016-07-13,1143783588,1240954473.0
2016-07-14,1145582283,1251849349.0
2016-07-15,1147430356,1252844509.0
2016-07-18,1147346610,1239230991.0
2016-07-19,1143192607,1236030292.0
2016-07-20,1142262476,1238963898.0
2016-07-21,1137256653,1246483084.0
2016-07-22,1152340872,1263617219.0
2016-07-25,1147423999,1253157261.0
2016-07-26,1130353853,1249880956.0
2016-07-27,1137601287,1253365869.0
2016-07-28,1130061808,1251517972.0
2016-07-29,1145039180,1267508618.0
2016-08-01,1134047468,1285068173.0
2016-08-02,1127851123,1256827792.0
2016-08-03,1126908723,1259066342.0
2016-08-04,1126103958,1239873914.0
2016-08-05,1124314434,1247214939.0
2016-08-08,1122210827,1267466044.0
2016-08-09,1124739670,1269491155.0
2016-08-10,1127756804,1272022543.0
2016-08-11,1130601069,1269238016.0
2016-08-12,1126424105,1258859325.0
2016-08-15,1122788038,1248268504.0
2016-08-16,1099911531,1235153618.0
2016-08-17,1101532447,1233440377.0
2016-08-18,1092827365,1226477041.0
2016-08-19,1083516881,1216120638.0
2016-08-22,1083231982,1215127492.0
2016-08-23,1083755847,1215928495.0
2016-08-24,1083432528,1217006405.0
2016-08-25,1087829172,1220995308.0
2016-08-26,1076155520,1215391378.0
2016-08-29,1084491608,1222872381.0
2016-08-30,1081046104,1221391021.0
2016-08-31,1080760362,1226535318.0
2016-09-01,1083643752,1228703765.0
2016-09-02,1086930852,1228585286.0
2016-09-06,1096749327,1233717406.0
2016-09-07,1099409976,1236385214.0
2016-09-08,1097379340,1243042571.0
2016-09-09,1059865576,1227868206.0
2016-09-12,1081070383,1244414216.0
2016-09-13,1059743102,1218419777.0
2016-09-14,1058538581,1219739791.0
2016-09-15,1070013435,1231744633.0
2016-09-16,1065426472,1220316326.0
2016-09-19,1058301857,1232297160.0
2016-09-20,1056181954,1233461308.0
2016-09-21,1069661373,1244235617.0
2016-09-22,1081646885,1257096695.0
2016-09-23,1085585329,1260259128.0
2016-09-26,1079701274,1255213080.0
2016-09-27,1086876500,1273396893.0
2016-09-28,1069441089,1256475094.0
2016-09-29,1067134161,1257849188.0
2016-09-30,1063941743,1252111220.0
2016-10-03,1064922895,1256641158.0
2016-10-04,1047282319,1233093941.0
2016-10-05,1035118932,1227846531.0
2016-10-06,1034250379,1225600588.0
2016-10-07,1030149870,1248953296.0
2016-10-10,1034376107,1253938713.0
2016-10-11,1032181181,1248887048.0
2016-10-12,1038024251,1256593845.0
2016-10-13,1038022144,1257100553.0
2016-10-14,1036668544,1254020220.0
2016-10-17,1038481052,1254270116.0
2016-10-18,1040428153,1252504250.0
2016-10-19,1042532946,1242684866.0
2016-10-20,1021836156,1222094789.0
2016-10-21,998477762,1169231889.0
2016-10-24,990762573,1162743393.0
2016-10-25,985255511,1157937832.0
2016-10-26,979580430,1163371765.0
2016-10-27,996320112,1166003605.0
2016-10-28,993800760,1166010090.0
2016-10-31,993512846,1173194108.0
2016-11-01,982926801,1165923682.0
2016-11-02,970480861,1158518755.0
