0,EOG,GNB,_clr,0.31
0,EOG,SVC,_chr,0.33
0,EOG,RF,_chr,0.30
0,EOG,DT,_chr,0.33
0,EOG,AB,_chr,0.32
0,EOG,GNB,_chr,0.30
0,TAP,SVC,1dd_Close,0.50
0,TAP,RF,1dd_Close,0.53
0,TAP,DT,1dd_Close,0.48
0,TAP,AB,1dd_Close,0.49
0,TAP,GNB,1dd_Close,0.49
0,TAP,SVC,5dd_Close,0.53
0,TAP,RF,5dd_Close,0.54
0,TAP,DT,5dd_Close,0.53
0,TAP,AB,5dd_Close,0.53
0,TAP,GNB,5dd_Close,0.56
0,TAP,SVC,20dd_Close,0.60
0,TAP,RF,20dd_Close,0.60
0,TAP,DT,20dd_Close,0.59
0,TAP,AB,20dd_Close,0.69
0,TAP,GNB,20dd_Close,0.59
0,TAP,SVC,_clr,0.46
0,TAP,RF,_clr,0.43
0,TAP,DT,_clr,0.43
0,TAP,AB,_clr,0.20
0,TAP,GNB,_clr,0.42
0,TAP,SVC,_chr,0.46
0,TAP,RF,_chr,0.41
0,TAP,DT,_chr,0.45
0,TAP,AB,_chr,0.31
0,TAP,GNB,_chr,0.36
0,VRTX,SVC,1dd_Close,0.53
0,VRTX,RF,1dd_Close,0.49
0,VRTX,DT,1dd_Close,0.51
0,VRTX,AB,1dd_Close,0.52
0,VRTX,GNB,1dd_Close,0.41
0,VRTX,SVC,5dd_Close,0.58
0,VRTX,RF,5dd_Close,0.57
0,VRTX,DT,5dd_Close,0.49
0,VRTX,AB,5dd_Close,0.50
0,VRTX,GNB,5dd_Close,0.53
0,VRTX,SVC,20dd_Close,0.64
0,VRTX,RF,20dd_Close,0.58
0,VRTX,DT,20dd_Close,0.59
0,VRTX,AB,20dd_Close,0.73
0,VRTX,GNB,20dd_Close,0.57
0,VRTX,SVC,_clr,0.51
0,VRTX,RF,_clr,0.57
0,VRTX,DT,_clr,0.53
0,VRTX,AB,_clr,0.28
0,VRTX,GNB,_clr,0.39
0,VRTX,SVC,_chr,0.51
0,VRTX,RF,_chr,0.47
0,VRTX,DT,_chr,0.46
0,VRTX,AB,_chr,0.19
0,VRTX,GNB,_chr,0.42
0,BWA,SVC,1dd_Close,0.56
0,BWA,RF,1dd_Close,0.49
0,BWA,DT,1dd_Close,0.46
0,BWA,AB,1dd_Close,0.48
0,BWA,GNB,1dd_Close,0.44
0,BWA,SVC,5dd_Close,0.60
0,BWA,RF,5dd_Close,0.52
0,BWA,DT,5dd_Close,0.52
0,BWA,AB,5dd_Close,0.53
0,BWA,GNB,5dd_Close,0.53
0,BWA,SVC,20dd_Close,0.63
0,BWA,RF,20dd_Close,0.57
0,BWA,DT,20dd_Close,0.52
0,BWA,AB,20dd_Close,0.65
0,BWA,GNB,20dd_Close,0.60
0,BWA,SVC,_clr,0.34
0,BWA,RF,_clr,0.31
0,BWA,DT,_clr,0.32
0,BWA,AB,_clr,0.25
0,BWA,GNB,_clr,0.30
0,BWA,SVC,_chr,0.34
0,BWA,RF,_chr,0.35
0,BWA,DT,_chr,0.37
0,BWA,AB,_chr,0.34
0,BWA,GNB,_chr,0.34
0,UAL,SVC,1dd_Close,0.51
0,UAL,RF,1dd_Close,0.47
0,UAL,DT,1dd_Close,0.47
0,UAL,AB,1dd_Close,0.47
0,UAL,GNB,1dd_Close,0.46
0,UAL,SVC,5dd_Close,0.63
0,UAL,RF,5dd_Close,0.52
0,UAL,DT,5dd_Close,0.50
0,UAL,AB,5dd_Close,0.50
0,UAL,GNB,5dd_Close,0.58
0,UAL,SVC,20dd_Close,0.68
0,UAL,RF,20dd_Close,0.68
0,UAL,DT,20dd_Close,0.64
0,UAL,AB,20dd_Close,0.76
0,UAL,GNB,20dd_Close,0.67
0,UAL,SVC,_clr,0.37
