alpha,cash,dix,gamma,i_value,index,p_value,simrun,time
0.1,134.0,13713,0.8,1005814438,SP500_50,1005814303.0,1,1464246000
0.1,141.0,13714,0.8,1012042604,SP500_50,1012042461.0,1,1464332400
0.1,10754672.0,13715,0.8,1017065956,SP500_50,1006312366.0,1,1464678000
0.1,10754684.0,13716,0.8,1006740518,SP500_50,996199743.0,1,1464764400
0.1,516284229.0,13717,0.8,1011792515,SP500_50,499807840.0,1,1464850800
0.1,932618557.0,13718,0.8,1017696756,SP500_50,84317289.0,1,1464937200
0.1,962994826.0,13719,0.8,1017302956,SP500_50,53716478.0,1,1465196400
0.1,463975409.0,13720,0.8,1032491891,SP500_50,553977074.0,1,1465282800
0.1,439978560.0,13721,0.8,1031137786,SP500_50,578873565.0,1,1465369200
0.1,0.0,13722,0.8,1037389438,SP500_50,1022310075.0,1,1465455600
0.1,48.0,13723,0.8,1046002665,SP500_50,1024281454.0,1,1465542000
0.1,460375266.0,13724,0.8,1042301754,SP500_50,548244939.0,1,1465801200
0.1,460375242.0,13725,0.8,1047869581,SP500_50,550452775.0,1,1465887600
0.1,460375370.0,13726,0.8,1046067371,SP500_50,549920066.0,1,1465974000
0.1,460375317.0,13727,0.8,1054464113,SP500_50,552507339.0,1,1466060400
0.1,460375366.0,13728,0.8,1060668959,SP500_50,555848901.0,1,1466146800
0.1,26622685.0,13729,0.8,1061647042,SP500_50,989324496.0,1,1466406000
0.1,19097723.0,13730,0.8,1069095120,SP500_50,1003904215.0,1,1466492400
0.1,402641430.0,13731,0.8,1070965724,SP500_50,623760848.0,1,1466578800
0.1,434396944.0,13732,0.8,1085148409,SP500_50,600331704.0,1,1466665200
0.1,434396984.0,13733,0.8,1074869076,SP500_50,591790443.0,1,1466751600
0.1,26.0,13734,0.8,1080890425,SP500_50,1030667988.0,1,1467010800
0.1,5380284.0,13735,0.8,1084327620,SP500_50,1028685950.0,1,1467097200
0.1,36819976.0,13736,0.8,1095094188,SP500_50,1007408131.0,1,1467183600
0.1,438645636.0,13737,0.8,1111901549,SP500_50,623523806.0,1,1467270000
0.1,405927717.0,13738,0.8,1119342376,SP500_50,660640421.0,1,1467356400
0.1,383156859.0,13739,0.8,1118895837,SP500_50,679614330.0,1,1467702000
0.1,449491822.0,13740,0.8,1120415956,SP500_50,617837744.0,1,1467788400
0.1,34.0,13741,0.8,1102580971,SP500_50,1056600228.0,1,1467874800
0.1,21955057.0,13742,0.8,1113234164,SP500_50,1044665444.0,1,1467961200
0.1,20.0,13743,0.8,1112335063,SP500_50,1065526128.0,1,1468220400
0.1,12902024.0,13744,0.8,1108902921,SP500_50,1048978923.0,1,1468306800
0.1,100066.0,13745,0.8,1117265304,SP500_50,1068701326.0,1,1468393200
0.1,595.0,13746,0.8,1119022296,SP500_50,1070329497.0,1,1468479600
0.1,30.0,13747,0.8,1120827522,SP500_50,1071940015.0,1,1468566000
0.1,30.0,13748,0.8,1120745718,SP500_50,1071745346.0,1,1468825200
0.1,1.0,13749,0.8,1116688024,SP500_50,1068260331.0,1,1468911600
0.1,29.0,13750,0.8,1115779457,SP500_50,1067031105.0,1,1468998000
0.1,29.0,13751,0.8,1110889693,SP500_50,1062384455.0,1,1469084400
0.1,397265120.0,13752,0.8,1125624189,SP500_50,677940347.0,1,1469170800
0.1,42.0,13753,0.8,1120821313,SP500_50,1071979756.0,1,1469430000
0.1,51614.0,13754,0.8,1104146933,SP500_50,1056317816.0,1,1469516400
0.1,4.0,13755,0.8,1111226337,SP500_50,1061797432.0,1,1469602800
0.1,14.0,13756,0.8,1103861659,SP500_50,1053811973.0,1,1469689200
0.1,448239025.0,13757,0.8,1118491785,SP500_50,618978104.0,1,1469775600
0.1,438112.0,13758,0.8,1107754913,SP500_50,1065040698.0,1,1470034800
