,Index,P_Total
2016-05-27,1031691423,1006611693.0
2016-05-31,1036863570,1007134789.0
2016-06-01,1026337143,1006291958.0
2016-06-02,1031487479,1018020138.0
2016-06-03,1037506648,1019217234.0
2016-06-06,1037105183,1031930485.0
2016-06-07,1052589777,1037456251.0
2016-06-08,1051209314,1039281381.0
2016-06-09,1057582657,1045278238.0
2016-06-10,1066363545,1055706218.0
2016-06-13,1062590593,1055109840.0
2016-06-14,1068266800,1056461547.0
2016-06-15,1066429510,1067352412.0
2016-06-16,1074989698,1070417195.0
2016-06-17,1081315323,1077754147.0
2016-06-20,1082312445,1080444294.0
2016-06-21,1089905504,1090792309.0
2016-06-22,1091812519,1094306899.0
2016-06-23,1106271276,1105677807.0
2016-06-24,1095791852,1098047879.0
2016-06-27,1101930409,1105256946.0
2016-06-28,1105434510,1109976457.0
2016-06-29,1116410654,1129397414.0
2016-06-30,1133545177,1146341951.0
2016-07-01,1141130843,1163853291.0
2016-07-05,1140675612,1146612977.0
2016-07-06,1142225321,1168793835.0
2016-07-07,1124043171,1184884952.0
2016-07-08,1134903733,1217086243.0
2016-07-11,1133987130,1209436339.0
2016-07-12,1130488180,1236181244.0
2016-07-13,1139013340,1240954473.0
2016-07-14,1140804533,1251849349.0
2016-07-15,1142644898,1252844509.0
2016-07-18,1142561502,1239230991.0
2016-07-19,1138424823,1236030292.0
2016-07-20,1137498571,1238963898.0
2016-07-21,1132513625,1246483084.0
2016-07-22,1147534934,1263617219.0
2016-07-25,1142638568,1253157261.0
2016-07-26,1125639615,1249880956.0
2016-07-27,1132856822,1253365869.0
2016-07-28,1125348787,1251517972.0
2016-07-29,1140263695,1267508618.0
2016-08-01,1129317825,1285068173.0
2016-08-02,1123147322,1256827792.0
2016-08-03,1122208853,1259066342.0
2016-08-04,1121407444,1239873914.0
2016-08-05,1119625383,1247214939.0
2016-08-08,1117530549,1267466044.0
2016-08-09,1120048846,1269491155.0
2016-08-10,1123053396,1272022543.0
2016-08-11,1125885800,1269238016.0
2016-08-12,1121726255,1258859325.0
2016-08-15,1118105353,1248268504.0
2016-08-16,1095324255,1235153618.0
2016-08-17,1096938411,1233440377.0
2016-08-18,1088269633,1226477041.0
2016-08-19,1078997980,1216120638.0
2016-08-22,1078714269,1215127492.0
2016-08-23,1079235949,1215928495.0
2016-08-24,1078913979,1217006405.0
2016-08-25,1083292286,1220995308.0
2016-08-26,1071667320,1215391378.0
2016-08-29,1079968642,1222872381.0
2016-08-30,1076537507,1221391021.0
2016-08-31,1076252957,1226535318.0
2016-09-01,1079124322,1228703765.0
2016-09-02,1082397713,1228585286.0
2016-09-06,1092175238,1233717406.0
2016-09-07,1094824792,1236385214.0
2016-09-08,1092802625,1243042571.0
2016-09-09,1055445314,1227868206.0
2016-09-12,1076561685,1244414216.0
2016-09-13,1055323351,1218419777.0
2016-09-14,1054123854,1219739791.0
2016-09-15,1065550851,1231744633.0
2016-09-16,1060983019,1220316326.0
2016-09-19,1053888118,1232297160.0
2016-09-20,1051777055,1233461308.0
2016-09-21,1065200258,1244235617.0
2016-09-22,1077135783,1257096695.0
2016-09-23,1081057801,1260259128.0
2016-09-26,1075198286,1255213080.0
2016-09-27,1082343588,1273396893.0
2016-09-28,1064980892,1256475094.0
2016-09-29,1062683585,1257849188.0
2016-09-30,1059504482,1252111220.0
2016-10-03,1060481542,1256641158.0
2016-10-04,1042914537,1233093941.0
2016-10-05,1030801879,1227846531.0
2016-10-06,1029936948,1225600588.0
2016-10-07,1025853541,1248953296.0
2016-10-10,1030062151,1253938713.0
2016-10-11,1027876380,1248887048.0
2016-10-12,1033695081,1256593845.0
2016-10-13,1033692982,1257100553.0
2016-10-14,1032345028,1254020220.0
2016-10-17,1034149976,1254270116.0
2016-10-18,1036088957,1252504250.0
2016-10-19,1038184972,1242684866.0
2016-10-20,1017574500,1222094789.0
2016-10-21,994313524,1169231889.0
2016-10-24,986630512,1162743393.0
2016-10-25,981146417,1157937832.0
2016-10-26,975495005,1163371765.0
2016-10-27,992164873,1166003605.0
2016-10-28,989656027,1166010090.0
2016-10-31,989369314,1173194108.0
2016-11-01,978827420,1165923682.0
2016-11-02,966433386,1158518755.0
