,Index,P_Total
2016-05-27,1010356334,1006611693.0
2016-05-31,1015421522,1007134789.0
2016-06-01,1005112779,1006291958.0
2016-06-02,1010156607,1018020138.0
2016-06-03,1016051302,1019217234.0
2016-06-06,1015658139,1031930485.0
2016-06-07,1030822516,1037456251.0
2016-06-08,1029470600,1039281381.0
2016-06-09,1035712145,1045278238.0
2016-06-10,1044311446,1055706218.0
2016-06-13,1040616518,1055109840.0
2016-06-14,1046175343,1056461547.0
2016-06-15,1044376047,1067352412.0
2016-06-16,1052759213,1070417195.0
2016-06-17,1058954026,1077754147.0
2016-06-20,1059930527,1080444294.0
2016-06-21,1067366564,1090792309.0
2016-06-22,1069234143,1094306899.0
2016-06-23,1083393897,1105677807.0
2016-06-24,1073131184,1098047879.0
2016-06-27,1079142798,1105256946.0
2016-06-28,1082574435,1109976457.0
2016-06-29,1093323595,1129397414.0
2016-06-30,1110103781,1146341951.0
2016-07-01,1117532578,1163853291.0
2016-07-05,1117086761,1146612977.0
2016-07-06,1118604422,1168793835.0
2016-07-07,1100798274,1184884952.0
2016-07-08,1111434242,1217086243.0
2016-07-11,1110536595,1209436339.0
2016-07-12,1107110001,1236181244.0
2016-07-13,1115458864,1240954473.0
2016-07-14,1117213016,1251849349.0
2016-07-15,1119015322,1252844509.0
2016-07-18,1118933651,1239230991.0
2016-07-19,1114882517,1236030292.0
2016-07-20,1113975420,1238963898.0
2016-07-21,1109093561,1246483084.0
2016-07-22,1123804234,1263617219.0
2016-07-25,1119009123,1253157261.0
2016-07-26,1102361703,1249880956.0
2016-07-27,1109429661,1253365869.0
2016-07-28,1102076890,1251517972.0
2016-07-29,1116683362,1267508618.0
2016-08-01,1105963849,1285068173.0
2016-08-02,1099920950,1256827792.0
2016-08-03,1099001888,1259066342.0
2016-08-04,1098217053,1239873914.0
2016-08-05,1096471845,1247214939.0
2016-08-08,1094420331,1267466044.0
2016-08-09,1096886550,1269491155.0
2016-08-10,1099828967,1272022543.0
2016-08-11,1102602797,1269238016.0
2016-08-12,1098529271,1258859325.0
2016-08-15,1094983248,1248268504.0
2016-08-16,1072673256,1235153618.0
2016-08-17,1074254032,1233440377.0
2016-08-18,1065764523,1226477041.0
2016-08-19,1056684604,1216120638.0
2016-08-22,1056406761,1215127492.0
2016-08-23,1056917653,1215928495.0
2016-08-24,1056602340,1217006405.0
2016-08-25,1060890106,1220995308.0
2016-08-26,1049505541,1215391378.0
2016-08-29,1057635194,1222872381.0
2016-08-30,1054275013,1221391021.0
2016-08-31,1053996348,1226535318.0
2016-09-01,1056808334,1228703765.0
2016-09-02,1060014032,1228585286.0
2016-09-06,1069589361,1233717406.0
2016-09-07,1072184122,1236385214.0
2016-09-08,1070203773,1243042571.0
2016-09-09,1033619001,1227868206.0
2016-09-12,1054298692,1244414216.0
2016-09-13,1033499561,1218419777.0
2016-09-14,1032324869,1219739791.0
2016-09-15,1043515559,1231744633.0
2016-09-16,1039042188,1220316326.0
2016-09-19,1032094007,1232297160.0
2016-09-20,1030026601,1233461308.0
2016-09-21,1043172215,1244235617.0
2016-09-22,1054860917,1257096695.0
2016-09-23,1058701829,1260259128.0
2016-09-26,1052963487,1255213080.0
2016-09-27,1059961026,1273396893.0
2016-09-28,1042957386,1256475094.0
2016-09-29,1040707587,1257849188.0
2016-09-30,1037594227,1252111220.0
2016-10-03,1038551081,1256641158.0
2016-10-04,1021347357,1233093941.0
2016-10-05,1009485185,1227846531.0
2016-10-06,1008638141,1225600588.0
2016-10-07,1004639177,1248953296.0
2016-10-10,1008760755,1253938713.0
2016-10-11,1006620185,1248887048.0
2016-10-12,1012318557,1256593845.0
2016-10-13,1012316502,1257100553.0
2016-10-14,1010996423,1254020220.0
2016-10-17,1012764045,1254270116.0
2016-10-18,1014662928,1252504250.0
2016-10-19,1016715598,1242684866.0
2016-10-20,996531345,1222094789.0
2016-10-21,973751400,1169231889.0
2016-10-24,966227270,1162743393.0
2016-10-25,960856585,1157937832.0
2016-10-26,955322042,1163371765.0
2016-10-27,971647181,1166003605.0
2016-10-28,969190218,1166010090.0
2016-10-31,968909435,1173194108.0
2016-11-01,958585543,1165923682.0
2016-11-02,946447815,1158518755.0
