alpha,cash,dix,gamma,i_value,index,p_value,simrun,time
0.1,184.0,13713,0.8,1005814438,SP500_50,1005814253.0,1,1464246000
0.1,192.0,13714,0.8,1012042604,SP500_50,1012042410.0,1,1464332400
0.1,10754696.0,13715,0.8,1017065956,SP500_50,1006312342.0,1,1464678000
0.1,10754737.0,13716,0.8,1006740518,SP500_50,996199689.0,1,1464764400
0.1,516284337.0,13717,0.8,1011792515,SP500_50,499807731.0,1,1464850800
0.1,951830831.0,13718,0.8,1017696756,SP500_50,65105015.0,1,1464937200
0.1,951830844.0,13719,0.8,1017302956,SP500_50,64901817.0,1,1465196400
0.1,444875751.0,13720,0.8,1032491891,SP500_50,573194592.0,1,1465282800
0.1,444465405.0,13721,0.8,1031137786,SP500_50,574220011.0,1,1465369200
0.1,478843019.0,13722,0.8,1037389438,SP500_50,542170709.0,1,1465455600
0.1,23284034.0,13723,0.8,1046002665,SP500_50,1002222835.0,1,1465542000
0.1,482635120.0,13724,0.8,1042301754,SP500_50,543322772.0,1,1465801200
0.1,482635042.0,13725,0.8,1047869581,SP500_50,545510691.0,1,1465887600
0.1,482635092.0,13726,0.8,1046067371,SP500_50,544983111.0,1,1465974000
0.1,482635094.0,13727,0.8,1054464113,SP500_50,547547047.0,1,1466060400
0.1,482635146.0,13728,0.8,1060668959,SP500_50,550858631.0,1,1466146800
0.1,22969451.0,13729,0.8,1061647042,SP500_50,1010177857.0,1,1466406000
0.1,22969451.0,13730,0.8,1069095120,SP500_50,1017355274.0,1,1466492400
0.1,421940801.0,13731,0.8,1070965724,SP500_50,621780279.0,1,1466578800
0.1,4.0,13732,0.8,1085148409,SP500_50,1054303585.0,1,1466665200
0.1,39.0,13733,0.8,1074869076,SP500_50,1043078312.0,1,1466751600
0.1,61.0,13734,0.8,1080890425,SP500_50,1048707192.0,1,1467010800
0.1,13921259.0,13735,0.8,1084327620,SP500_50,1039790072.0,1,1467097200
0.1,13921208.0,13736,0.8,1095094188,SP500_50,1049396566.0,1,1467183600
0.1,25807022.0,13737,0.8,1111901549,SP500_50,1053501083.0,1,1467270000
0.1,8645.0,13738,0.8,1119342376,SP500_50,1086412778.0,1,1467356400
0.1,431018822.0,13739,0.8,1118895837,SP500_50,651355811.0,1,1467702000
0.1,431018767.0,13740,0.8,1120415956,SP500_50,655626141.0,1,1467788400
0.1,42.0,13741,0.8,1102580971,SP500_50,1076232731.0,1,1467874800
0.1,42.0,13742,0.8,1113234164,SP500_50,1087193120.0,1,1467961200
0.1,42.0,13743,0.8,1112335063,SP500_50,1086531564.0,1,1468220400
0.1,3243748.0,13744,0.8,1108902921,SP500_50,1080795576.0,1,1468306800
0.1,10.0,13745,0.8,1117265304,SP500_50,1093236285.0,1,1468393200
