,Index,P_Total
2016-05-27,1006190391,1006611693.0
2016-05-31,1011186619,1007134789.0
2016-06-01,1000920869,1006291958.0
2016-06-02,1005943662,1018020138.0
2016-06-03,1011813772,1019217234.0
2016-06-06,1011422249,1031930485.0
2016-06-07,1026523381,1037456251.0
2016-06-08,1025177104,1039281381.0
2016-06-09,1031392617,1045278238.0
2016-06-10,1039956054,1055706218.0
2016-06-13,1036276536,1055109840.0
2016-06-14,1041812178,1056461547.0
2016-06-15,1040020386,1067352412.0
2016-06-16,1048368589,1070417195.0
2016-06-17,1054537566,1077754147.0
2016-06-20,1055509995,1080444294.0
2016-06-21,1062915019,1090792309.0
2016-06-22,1064774809,1094306899.0
2016-06-23,1078875508,1105677807.0
2016-06-24,1068655598,1098047879.0
2016-06-27,1074642139,1105256946.0
2016-06-28,1078059464,1109976457.0
2016-06-29,1088763794,1129397414.0
2016-06-30,1105473997,1146341951.0
2016-07-01,1112871811,1163853291.0
2016-07-05,1112427854,1146612977.0
2016-07-06,1113939185,1168793835.0
2016-07-07,1096207299,1184884952.0
2016-07-08,1106798909,1217086243.0
2016-07-11,1105905005,1209436339.0
2016-07-12,1102492703,1236181244.0
2016-07-13,1110806746,1240954473.0
2016-07-14,1112553582,1251849349.0
2016-07-15,1114348372,1252844509.0
2016-07-18,1114267041,1239230991.0
2016-07-19,1110232803,1236030292.0
2016-07-20,1109329489,1238963898.0
2016-07-21,1104467990,1246483084.0
2016-07-22,1119117311,1263617219.0
2016-07-25,1114342198,1253157261.0
2016-07-26,1097764208,1249880956.0
2016-07-27,1104802688,1253365869.0
2016-07-28,1097480583,1251517972.0
2016-07-29,1112026137,1267508618.0
2016-08-01,1101351331,1285068173.0
2016-08-02,1095333635,1256827792.0
2016-08-03,1094418406,1259066342.0
2016-08-04,1093636843,1239873914.0
2016-08-05,1091898914,1247214939.0
2016-08-08,1089855956,1267466044.0
2016-08-09,1092311890,1269491155.0
2016-08-10,1095242035,1272022543.0
2016-08-11,1098004297,1269238016.0
2016-08-12,1093947760,1258859325.0
2016-08-15,1090416526,1248268504.0
2016-08-16,1068199579,1235153618.0
2016-08-17,1069773763,1233440377.0
2016-08-18,1061319659,1226477041.0
2016-08-19,1052277609,1216120638.0
2016-08-22,1052000925,1215127492.0
2016-08-23,1052509686,1215928495.0
2016-08-24,1052195689,1217006405.0
2016-08-25,1056465572,1220995308.0
2016-08-26,1045128487,1215391378.0
2016-08-29,1053224234,1222872381.0
2016-08-30,1049878068,1221391021.0
2016-08-31,1049600565,1226535318.0
2016-09-01,1052400823,1228703765.0
2016-09-02,1055593151,1228585286.0
2016-09-06,1065128546,1233717406.0
2016-09-07,1067712485,1236385214.0
2016-09-08,1065740395,1243042571.0
2016-09-09,1029308204,1227868206.0
2016-09-12,1049901648,1244414216.0
2016-09-13,1029189261,1218419777.0
2016-09-14,1028019468,1219739791.0
2016-09-15,1039163486,1231744633.0
2016-09-16,1034708772,1220316326.0
2016-09-19,1027789570,1232297160.0
2016-09-20,1025730786,1233461308.0
2016-09-21,1038821575,1244235617.0
2016-09-22,1050461528,1257096695.0
2016-09-23,1054286421,1260259128.0
2016-09-26,1048572012,1255213080.0
2016-09-27,1055540367,1273396893.0
2016-09-28,1038607642,1256475094.0
2016-09-29,1036367226,1257849188.0
2016-09-30,1033266850,1252111220.0
2016-10-03,1034219714,1256641158.0
2016-10-04,1017087739,1233093941.0
2016-10-05,1005275040,1227846531.0
2016-10-06,1004431528,1225600588.0
2016-10-07,1000449243,1248953296.0
2016-10-10,1004553631,1253938713.0
2016-10-11,1002421988,1248887048.0
2016-10-12,1008096595,1256593845.0
2016-10-13,1008094548,1257100553.0
2016-10-14,1006779974,1254020220.0
2016-10-17,1008540225,1254270116.0
2016-10-18,1010431188,1252504250.0
2016-10-19,1012475297,1242684866.0
2016-10-20,992375224,1222094789.0
2016-10-21,969690285,1169231889.0
2016-10-24,962197535,1162743393.0
2016-10-25,956849249,1157937832.0
2016-10-26,951337789,1163371765.0
2016-10-27,967594843,1166003605.0
2016-10-28,965148127,1166010090.0
2016-10-31,964868514,1173194108.0
2016-11-01,954587679,1165923682.0
2016-11-02,942500572,1158518755.0
