alpha,cash,dix,gamma,i_value,index,p_value,simrun,time
0.5,1072223984.0,13781,0.8,1052400823,SP500_50,156479781.0,1,1472713200
0.5,35799268.0,13782,0.8,1055593151,SP500_50,1192786018.0,1,1472799600
0.5,577484991.0,13783,0.8,1065128546,SP500_50,656232415.0,1,1473145200
0.5,1236385214.0,13784,0.8,1067712485,SP500_50,0.0,1,1473231600
0.5,41.0,13785,0.8,1065740395,SP500_50,1243042530.0,1,1473318000
0.5,14.0,13786,0.8,1029308204,SP500_50,1227868192.0,1,1473404400
0.5,41762389.0,13787,0.8,1049901648,SP500_50,1202651827.0,1,1473663600
0.5,88040125.0,13788,0.8,1029189261,SP500_50,1130379652.0,1,1473750000
0.5,242128.0,13789,0.8,1028019468,SP500_50,1219497663.0,1,1473836400
0.5,387.0,13790,0.8,1039163486,SP500_50,1231744246.0,1,1473922800
0.5,51.0,13791,0.8,1034708772,SP500_50,1220316275.0,1,1474009200
0.5,13363535.0,13792,0.8,1027789570,SP500_50,1218933625.0,1,1474268400
0.5,292936305.0,13793,0.8,1025730786,SP500_50,940525003.0,1,1474354800
0.5,63.0,13794,0.8,1038821575,SP500_50,1244235554.0,1,1474441200
0.5,681275383.0,13795,0.8,1050461528,SP500_50,575821312.0,1,1474527600
0.5,2417081.0,13796,0.8,1054286421,SP500_50,1257842047.0,1,1474614000
0.5,2417081.0,13797,0.8,1048572012,SP500_50,1252795999.0,1,1474873200
0.5,4727715.0,13798,0.8,1055540367,SP500_50,1268669178.0,1,1474959600
0.5,1256475094.0,13799,0.8,1038607642,SP500_50,0.0,1,1475046000
0.5,7611399.0,13800,0.8,1036367226,SP500_50,1250237789.0,1,1475132400
0.5,1624354.0,13801,0.8,1033266850,SP500_50,1250486866.0,1,1475218800
0.5,1624354.0,13802,0.8,1034219714,SP500_50,1255016804.0,1,1475478000
0.5,9588.0,13803,0.8,1017087739,SP500_50,1233084353.0,1,1475564400
0.5,37.0,13804,0.8,1005275040,SP500_50,1227846494.0,1,1475650800
0.5,285040094.0,13805,0.8,1004431528,SP500_50,940560494.0,1,1475737200
0.5,26447143.0,13806,0.8,1000449243,SP500_50,1222506153.0,1,1475823600
0.5,210861.0,13807,0.8,1004553631,SP500_50,1253727852.0,1,1476082800
0.5,39.0,13808,0.8,1002421988,SP500_50,1248887009.0,1,1476169200
0.5,300009883.0,13809,0.8,1008096595,SP500_50,956583962.0,1,1476255600
