ROST,1986-07-09 00:00:00
APC,1986-09-09 00:00:00
APA,1979-05-15 00:00:00
APD,1983-04-06 00:00:00
KSU,1987-11-05 00:00:00
AEE,1998-01-02 00:00:00
KSS,1992-05-19 00:00:00
WFM,1992-01-23 00:00:00
WFC,1972-06-01 00:00:00
IFF,1981-12-31 00:00:00
CHTR,2010-01-05 00:00:00
NVDA,1999-01-22 00:00:00
KORS,2011-12-15 00:00:00
AVGO,2009-08-06 00:00:00
RTN,1981-12-31 00:00:00
BMY,1972-06-01 00:00:00
SYMC,1990-03-26 00:00:00
EL,1995-11-17 00:00:00
PAYX,1990-03-26 00:00:00
OXY,1981-12-31 00:00:00
SHW,1985-07-01 00:00:00
ED,1970-01-02 00:00:00
DISCK,2008-09-18 00:00:00
EA,1990-03-26 00:00:00
ORLY,1993-04-23 00:00:00
DLR,2004-10-29 00:00:00
CSX,1980-11-03 00:00:00
EW,2000-03-27 00:00:00
ES,2015-02-20 00:00:00
STT,1986-07-09 00:00:00
LUV,1980-01-02 00:00:00
MUR,1983-04-06 00:00:00
WYN,2006-07-19 00:00:00
LUK,1987-11-05 00:00:00
ADSK,1985-07-01 00:00:00
LNT,1988-01-05 00:00:00
ECL,1988-01-05 00:00:00
SEE,1987-12-30 00:00:00
HPE,2015-11-03 00:00:00
PVH,1987-07-10 00:00:00
DGX,1996-12-26 00:00:00
NUE,1983-09-01 00:00:00
EXPE,2005-07-21 00:00:00
EXPD,1990-03-26 00:00:00
UNP,1980-01-02 00:00:00
UDR,1990-03-07 00:00:00
ETFC,1996-08-16 00:00:00
DUK,1983-04-06 00:00:00
XL,1991-07-19 00:00:00
R,1980-01-02 00:00:00
CLX,1983-03-21 00:00:00
CMA,1990-03-26 00:00:00
BBY,1985-04-19 00:00:00
FRT,1973-05-03 00:00:00
UNH,1990-03-26 00:00:00
BBT,1990-03-26 00:00:00
TRIP,2011-12-07 00:00:00
OMC,1990-03-26 00:00:00
KO,1962-01-02 00:00:00
VMC,1988-01-05 00:00:00
KR,1977-01-03 00:00:00
XLNX,1990-06-18 00:00:00
LNC,1984-10-05 00:00:00
KEY,1987-11-05 00:00:00
ITW,1987-11-05 00:00:00
KLAC,1990-03-26 00:00:00
SWK,1985-07-01 00:00:00
RSG,1998-07-01 00:00:00
WYNN,2002-10-25 00:00:00
SWN,1987-12-30 00:00:00
DG,2009-11-13 00:00:00
DD,1962-01-02 00:00:00
DE,1972-06-01 00:00:00
AAP,2001-11-29 00:00:00
WBA,2015-01-05 00:00:00
TGT,1983-04-06 00:00:00
HBAN,1990-03-26 00:00:00
BIIB,1991-09-17 00:00:00
TSS,1989-06-30 00:00:00
ATVI,1993-10-25 00:00:00
AKAM,1999-10-29 00:00:00
INTC,1980-03-17 00:00:00
HOLX,1990-03-26 00:00:00
M,1992-02-05 00:00:00
MLM,1994-02-17 00:00:00
INTU,1993-03-22 00:00:00
ALXN,1996-02-28 00:00:00
SLG,1997-08-15 00:00:00
DHR,1987-11-05 00:00:00
SLB,1981-12-31 00:00:00
AJG,1984-09-07 00:00:00
MCO,1994-10-31 00:00:00
MCK,1994-11-15 00:00:00
UA_C,2016-09-02 00:00:00
MCD,1970-01-02 00:00:00
NRG,2003-12-02 00:00:00
PBCT,1990-03-26 00:00:00
VTR,1997-05-05 00:00:00
AXP,1972-06-01 00:00:00
NFLX,2002-05-23 00:00:00
EXC,1980-01-02 00:00:00
WM,1991-09-30 00:00:00
SRCL,1996-08-23 00:00:00
WU,2006-10-02 00:00:00
EXR,2004-08-16 00:00:00
WY,1973-05-03 00:00:00
VNO,1988-01-05 00:00:00
UNM,1986-11-06 00:00:00
SPLS,1990-03-26 00:00:00
AWK,2008-04-23 00:00:00
HST,1983-04-06 00:00:00
RIG,1993-05-28 00:00:00
HSY,1985-07-01 00:00:00
DLPH,2011-11-17 00:00:00
FBHS,2011-09-16 00:00:00
WEC,1984-10-26 00:00:00
GPN,2001-01-16 00:00:00
HAL,1972-06-01 00:00:00
FITB,1990-03-26 00:00:00
EQR,1993-08-12 00:00:00
EQT,1987-11-05 00:00:00
GPC,1983-04-06 00:00:00
HAR,1986-11-14 00:00:00
HAS,1984-12-18 00:00:00
CTXS,1995-12-08 00:00:00
LVLT,1998-03-31 00:00:00
GPS,1987-07-23 00:00:00
YUM,1997-09-17 00:00:00
SYF,2015-11-17 00:00:00
PHM,1985-07-01 00:00:00
SYK,1988-02-01 00:00:00
XEC,2002-09-25 00:00:00
KIM,1991-11-22 00:00:00
SYY,1973-05-08 00:00:00
AEP,1970-01-02 00:00:00
AES,1991-06-26 00:00:00
AET,1977-01-03 00:00:00
EMN,1993-12-14 00:00:00
HCP,1987-11-05 00:00:00
ESRX,1992-06-09 00:00:00
AMAT,1984-09-07 00:00:00
SWKS,1984-09-07 00:00:00
CTAS,1990-03-26 00:00:00
EMR,1972-06-01 00:00:00
FDX,1978-04-12 00:00:00
BFB,1984-09-07 00:00:00
QRVO,2015-06-09 00:00:00
CRM,2004-06-23 00:00:00
NWSA,2013-06-19 00:00:00
PX,1992-06-17 00:00:00
PG,1970-01-02 00:00:00
PH,1985-07-01 00:00:00
PM,2008-03-17 00:00:00
EFX,1986-03-27 00:00:00
C,1977-01-03 00:00:00
MHK,1992-04-01 00:00:00
FOX,1987-12-30 00:00:00
COTY,2013-06-13 00:00:00
QCOM,1991-12-16 00:00:00
XRX,1977-01-03 00:00:00
ULTA,2007-10-25 00:00:00
MOS,1988-01-26 00:00:00
PSA,1980-11-18 00:00:00
PSX,2012-04-12 00:00:00
MON,2000-10-18 00:00:00
MCHP,1993-03-19 00:00:00
ETR,1972-06-01 00:00:00
COP,1981-12-31 00:00:00
HES,1983-04-06 00:00:00
DVN,1992-03-17 00:00:00
KMB,1984-12-17 00:00:00
DVA,1995-10-31 00:00:00
KMI,2011-02-11 00:00:00
GWW,1984-12-17 00:00:00
FISV,1990-03-26 00:00:00
COG,1990-02-08 00:00:00
COF,1994-11-16 00:00:00
COH,2000-10-06 00:00:00
TMK,1987-12-30 00:00:00
ETN,1972-06-01 00:00:00
COL,2001-06-15 00:00:00
COO,1983-12-30 00:00:00
KMX,1997-02-04 00:00:00
DLTR,1995-03-09 00:00:00
ZBH,2015-06-29 00:00:00
AAL,2005-09-27 00:00:00
CI,1982-03-31 00:00:00
SRE,1998-06-29 00:00:00
CB,1984-09-07 00:00:00
CA,1984-09-07 00:00:00
CF,2005-08-11 00:00:00
WAT,1995-11-17 00:00:00
ZTS,2013-02-01 00:00:00
CHRW,1997-10-16 00:00:00
TDC,2007-10-01 00:00:00
TDG,2006-03-15 00:00:00
SBUX,1992-06-26 00:00:00
PLD,1997-11-21 00:00:00
CMCSA,1988-07-07 00:00:00
MKC,1990-03-26 00:00:00
MSI,1977-01-03 00:00:00
CVX,1970-01-02 00:00:00
AIZ,2004-02-05 00:00:00
BXP,1997-06-18 00:00:00
AIV,1994-07-22 00:00:00
CVS,1984-12-17 00:00:00
RCL,1993-04-28 00:00:00
LOW,1985-07-01 00:00:00
CHD,1986-03-06 00:00:00
AIG,1984-09-07 00:00:00
DIS,1962-01-02 00:00:00
PPG,1983-04-06 00:00:00
MNST,1995-08-18 00:00:00
NSC,1982-06-02 00:00:00
PPL,1985-04-08 00:00:00
NDAQ,2002-07-01 00:00:00
GOOG,2014-03-27 00:00:00
IP,1970-01-02 00:00:00
HPQ,1962-01-02 00:00:00
IR,1985-07-01 00:00:00
L,1987-07-10 00:00:00
IRM,1996-02-01 00:00:00
MTB,1991-10-04 00:00:00
UTX,1970-01-02 00:00:00
JCI,1985-03-27 00:00:00
MTD,1997-11-14 00:00:00
PWR,1998-02-12 00:00:00
CSCO,1990-03-26 00:00:00
WDC,1987-01-02 00:00:00
HBI,2006-09-06 00:00:00
BA,1962-01-02 00:00:00
BK,1973-05-03 00:00:00
DRI,1995-05-09 00:00:00
CCL,1989-01-05 00:00:00
CCI,1998-08-18 00:00:00
TIF,1987-12-30 00:00:00
ALLE,2013-11-18 00:00:00
FLIR,1993-06-22 00:00:00
MYL,1987-12-18 00:00:00
LYB,2010-04-28 00:00:00
KHC,2015-07-22 00:00:00
HSIC,1995-11-03 00:00:00
D,1984-10-03 00:00:00
NAVI,2014-05-02 00:00:00
PEP,1972-06-01 00:00:00
WMT,1972-08-25 00:00:00
VZ,1983-11-21 00:00:00
T,1984-07-19 00:00:00
WMB,1981-12-31 00:00:00
VRSN,1998-01-30 00:00:00
OI,1991-12-11 00:00:00
VRSK,2009-10-07 00:00:00
CINF,1990-03-26 00:00:00
NTRS,1990-03-26 00:00:00
CXO,2007-08-03 00:00:00
AA,1962-01-02 00:00:00
FLS,1990-03-26 00:00:00
FLR,2000-12-01 00:00:00
AFL,1984-07-19 00:00:00
REGN,1991-04-02 00:00:00
HD,1981-09-22 00:00:00
LKQ,2003-10-06 00:00:00
LLY,1972-06-01 00:00:00
PEG,1980-01-02 00:00:00
DHI,1992-06-05 00:00:00
NWS,2013-06-19 00:00:00
DOV,1985-07-01 00:00:00
SCG,1987-12-30 00:00:00
AME,1984-07-19 00:00:00
AMG,1997-11-21 00:00:00
MNK,2013-06-17 00:00:00
BCR,1983-04-06 00:00:00
SE,2007-01-03 00:00:00
LLL,1998-05-19 00:00:00
NWL,1984-07-19 00:00:00
AMP,2005-09-15 00:00:00
TMO,1987-09-01 00:00:00
AMT,1998-02-27 00:00:00
LRCX,1990-03-26 00:00:00
O,1994-10-18 00:00:00
YHOO,1996-04-12 00:00:00
PBI,1972-06-01 00:00:00
UPS,1999-11-10 00:00:00
TRV,1986-07-09 00:00:00
AVY,1983-12-29 00:00:00
ABBV,2013-01-02 00:00:00
MDLZ,2001-06-13 00:00:00
UA,2005-11-18 00:00:00
AVB,1994-03-11 00:00:00
NEM,1983-04-06 00:00:00
NEE,1983-06-10 00:00:00
ACN,2001-07-19 00:00:00
NI,1984-10-19 00:00:00
TEL,2007-06-14 00:00:00
RRC,1992-12-28 00:00:00
FAST,1990-03-26 00:00:00
NBL,1982-01-04 00:00:00
HP,1980-10-15 00:00:00
LLTC,1990-03-26 00:00:00
ADS,2001-06-15 00:00:00
ADP,1983-04-06 00:00:00
DNB,1983-06-10 00:00:00
GILD,1992-01-22 00:00:00
SJM,1994-10-31 00:00:00
JPM,1983-12-30 00:00:00
ADM,1983-04-05 00:00:00
ADI,1984-07-19 00:00:00
VIAB,2005-12-05 00:00:00
LEG,1987-11-05 00:00:00
XEL,1985-09-24 00:00:00
LEN,1987-11-05 00:00:00
EBAY,1998-09-24 00:00:00
MET,2000-04-05 00:00:00
USB,1987-11-05 00:00:00
AZO,1991-04-02 00:00:00
PDCO,1992-10-28 00:00:00
TWX,1992-03-19 00:00:00
PCAR,1986-07-09 00:00:00
TXN,1972-06-01 00:00:00
DAL,2007-05-03 00:00:00
CL,1977-01-03 00:00:00
ORCL,1986-03-12 00:00:00
TXT,1984-10-24 00:00:00
PXD,1997-08-08 00:00:00
EIX,1980-01-02 00:00:00
HOG,1987-11-05 00:00:00
ESS,1994-06-07 00:00:00
PKI,1983-04-06 00:00:00
CNP,1970-01-02 00:00:00
HON,1970-01-02 00:00:00
ICE,2005-11-16 00:00:00
AN,1992-03-03 00:00:00
CSRA,2015-12-01 00:00:00
ROK,1981-12-31 00:00:00
CNC,2001-12-13 00:00:00
TROW,1989-09-13 00:00:00
ISRG,2000-06-16 00:00:00
PFE,1972-06-01 00:00:00
EQIX,2000-08-11 00:00:00
PFG,2001-10-23 00:00:00
SPGI,2016-05-03 00:00:00
